# Original data is from the International Atomic Energy Agency (IAEA) Nuclear Data Services (https://www-nds.iaea.org). The data was processed by speedydelete.
z,n,symbol,radius,mass,abundance,halfLife,halfLifeOperator,decay1,decay1Prob,decay2,decay2Prob,decay3,decay3Prob,magneticDipoleMoment,betaMinusEnergy,neutronEnergy,alphaEnergy,electronCaptureEnergy
78,112,Pt,5.4108,189.9599498,0.00012,1.57E+19,,A,100,,,,,4.3,-4472.9637,-11795.8636,3268.6121,-552.89
78,113,Pt,5.4102,190.9616763,,244512,,EC,100,,,,,-0.499,-1900.4257,-10936.1142,3095.7631,1010.49
78,114,Pt,5.4169,191.9610427,0.00782,stable,,,,,,,,3.4,-3516.3415,-10561.933,2423.86,-1452.894
78,115,Pt,5.4191,192.9629845,,1577846299,,EC,100,,,,,0.601,-1074.8477,-9778.8111,2082.2089,56.628
78,116,Pt,5.4236,193.9626835,0.32864,stable,,,,,,,,0.56,-2548.1518,-9426.5903,1522.8078,-2228.325
78,117,Pt,5.427,194.9647943,0.33775,stable,,,,,,,,0.6073,-226.8175,-8653.2467,1176.4449,-1101.56
78,118,Pt,5.4307,195.9649546,0.25211,stable,,,,,,,,,-1505.8204,-8148.7952,812.8492,-3209.016
78,119,Pt,null,196.967343,,71609.4,,B-,100,,,,,0.51,719.9769,-7352.375,549.7104,-2155.652
78,120,Pt,5.4383,197.9678967,0.07356,stable,,2B-,,2B-,,,,0.63,-323.2251,-6835.5844,106.2426,-4194.018
78,121,Pt,null,198.970597,,1848,,B-,100,,,,,0.75,1705.0525,-5879.225,-302.0194,-2990.166
78,122,Pt,null,199.9714446,,45360,,B-,100,,,,,,640.9158,-5576.7437,-746.9711,-5029.178
78,123,Pt,null,200.9745133,,147.6,,B-,100,,,,,,2660,-4571.9299,-1086,-3900.705
78,124,Pt,null,201.975639,,158400,,B-,100,,,,,,1660.854,-4362.7404,-1517,-6052.128
78,125,Pt,null,202.979055,,22,,B-,100,,,,,,3633,-3228,-1665,-5140
78,126,Pt,null,203.981084,,10.3,,B-,100,,,,,,2770,-2548,-1495,-8050
78,127,Pt,null,204.986237,,null,,B-,100,B-N,,,,,5750,-501,-405,-7220
78,128,Pt,null,205.99008,,0.00000016,>,B-,,B-N,,,,,4950,1259,865,
78,129,Pt,null,206.995556,,null,,B-,100,B-N,,,,,6501,1980,706,
78,130,Pt,null,207.999463,,null,,B-,100,B-N,,,,,5410,2069,,
79,91,Au,null,169.996024,,0.00029,,P,89,A,11,,,,-9119,,7177.3107,12596.202
79,92,Au,null,170.9918815,,0.000022,,P,100,,,,,,-10901,-21049,7085.2291,9904.266
79,93,Au,null,171.9899967,,0.022,,A,100,P,,EC+B+,,,-8256.6495,-20728,6923.3037,11788.659
79,94,Au,null,172.9862243,,0.0263,,A,94,P,,EC+B+,,,-10171,-19841.9738,6836.4832,9104.741
79,95,Au,null,173.984908,,0.12,,A,0,,,,,,-7417,-19468,6699.2937,11259.608
79,96,Au,null,174.9813164,,null,,A,90,,,,,,-9434.2436,-18833.9873,6583.4278,8304.998
79,97,Au,null,175.9801169,,null,,,,,,,,,-6736.3283,-18622.8421,6433.4907,10412.951
79,98,Au,null,176.9768697,,1.501,,EC+B+,60,A,40,,,1.15,-8769.9135,-17832.4157,6297.8037,7824.701
79,99,Au,null,177.9760567,,2.6,,EC+B+,60,A,40,,,,-5987.6832,-17598.5242,6057.9921,9694.457
79,100,Au,null,178.9731737,,7.1,,EC+B+,78,A,22,,,1.01,-8055.648,-16744.5441,5981.0233,7279.555
79,101,Au,null,179.9724897,,8.4,,EC+B+,98.2,A,1.8,,,,-5375.133,-16764.0406,5831.3605,8804.229
79,102,Au,null,180.9700791,,13.7,,EC+B+,97.3,A,2.7,,,,-7210.0126,-15691.9446,5751.3689,6510.357
79,103,Au,null,181.9696144,,15.5,,EC+B+,99.87,A,0.13,,,1.3,-4727.0905,-15714.1666,5525.4222,7864.444
79,104,Au,5.4247,182.9675881,,42.8,,EC+B+,99.45,A,0.55,,,1.96,-6386.8322,-14685.9204,5465.3158,5581.709
79,105,Au,5.4306,183.9674515,,20.6,,EC+B+,100,A,0.016,,,2.06,-3973.9269,-14585.3767,5233.8999,7013.772
79,106,Au,5.4296,184.9657989,,255,,EC+B+,99.74,A,0.26,,,2.16,-5674.4989,-13584.6807,5179.9695,4829.994
79,107,Au,5.4354,185.9659527,,642,,EC+B+,100,A,0.0008,,,-1.26,-3175.7972,-13602.5233,4911.9106,6149.591
79,108,Au,5.4018,186.9645421,,498,,EC+B+,100,A,0.003,,,0.533,-4910.2713,-12561.0395,4748.4422,3656.581
79,109,Au,5.4049,187.965248,,530.4,,EC+B+,100,,,,,-0.07,-2172.9634,-12324.1237,4814.6247,5449.655
79,110,Au,5.4084,188.9639483,,1722,,EC+B+,100,A,0.00003,,,0.492,-3955.58,-11454.925,4328.6837,2887.447
79,111,Au,5.4109,189.9647517,,2568,,EC+B+,100,A,0.000001,,,-0.065,-1462.915,-11278.4799,3913.8945,4472.964
79,112,Au,5.4147,190.9637165,,11448,,EC+B+,100,,,,,0.1364,-3206.0616,-10498.6035,3326.5503,1900.426
79,113,Au,5.4179,191.9648176,,17784,,EC+B+,100,,,,,-0.0107,-760.7028,-10251.6531,3147.8557,3516.341
79,114,Au,5.4221,192.9641384,,63540,,EC+B+,100,,,,,0.1391,-2342.6641,-9464.6662,2619.9072,1074.848
79,115,Au,5.4252,193.9654191,,136872,,EC+B+,100,,,,,0.076,-27.9978,-9221.1026,2116.7489,2548.151
79,116,Au,5.4298,194.9650378,,16071264,,EC,100,,,,,0.1481,-1553.719,-8454.427,1716.8497,226.817
79,117,Au,5.4332,195.9665712,,532820.16,,EC+B+,93,B-,7,,,0.5883,687.2263,-8196.6938,1271.9973,1505.82
79,118,Au,5.4371,196.9665701,1,stable,,,,,,,,0.1452,-599.5206,-7385.1256,971.6373,-719.976
79,119,Au,5.44,197.9682437,,232770.24,,B-,100,,,,,0.5911,1373.5226,-7111.88,526.0677,323.225
79,120,Au,5.4454,198.9687666,,271209.6,,B-,100,,,,,0.2705,452.3142,-6210.7549,173.6501,-1705.052
79,121,Au,null,199.9707566,,2904,,B-,100,,,,,,2263.1737,-5765.3454,-229.488,-640.916
79,122,Au,null,200.9716577,,1560,,B-,100,,,,,,1261.8237,-4968.7562,-561.4987,-2660
79,123,Au,null,201.973856,,28.4,,B-,100,,,,,,2992.3278,-4761.7706,-1068,-1660.854
79,124,Au,null,202.9751545,,60,,B-,100,,,,,,2125.7592,-3869.4521,-1169.8255,-3633.444
79,125,Au,null,203.97811,,39.8,,B-,100,,,,,,4300,-3192,-1245,-2770
79,126,Au,null,204.980064,,32,,B-,100,,,,,,3717,-1951,-1155,-5750
79,127,Au,null,205.984766,,40,,B-,100,,,,,,6755,26,25,-4950
79,128,Au,null,206.988577,,0.0000003,>,B-,100,B-N,,,,,5847,2234,1305,-6500
79,129,Au,null,207.993655,,null,,B-,100,B-N,,,,,7355,2506,1235,-5410
79,130,Au,null,208.997606,,0.0000003,>,B-,100,,,,,,6380,2964,945,
79,131,Au,null,210.002877,,0.0000003,>,B-,,B-N,,,,,7980,3218,,
80,90,Hg,null,170.005814,,0.00008,,A,100,,,,,,,,7773.23,
80,91,Hg,null,171.003585,,0.000059,,A,100,,,,,,,,7667.6865,10901.303
80,92,Hg,null,171.9988606,,0.000231,,A,100,,,,,,,,7523.8007,8256.65
80,93,Hg,null,172.997143,,0.0008,,A,100,,,,,,,,7378.0245,10171.017
80,94,Hg,null,173.9928706,,0.0021,,A,99.6,,,,,,,,7233.2692,7416.983
80,95,Hg,null,174.9914445,,0.0106,,A,100,,,,,,,,7072.2101,9434.243
80,96,Hg,null,175.9873487,,0.0203,,A,94,,,,,,-12369.3668,,6897.1154,6736.328
80,97,Hg,null,176.9862846,,0.117,,A,100,,,,,-1.02,-9435.7198,-21431.869,6736.0198,8769.913
80,98,Hg,null,177.9824848,,0.2665,,A,70,EC+B+,30,,,,-11702,-21046.5608,6577.346,5987.683
80,99,Hg,null,178.9818218,,1.05,,A,55,EC+B+,45,ECP,0.15,-0.94,-8663.2918,-20391,6350.8448,8055.648
80,100,Hg,null,179.9782602,,2.59,,EC+B+,52,A,48,,,,-10860.075,-20052.1995,6258.4894,5375.133
80,101,Hg,5.4364,180.9778194,,3.6,,EC+B+,73,A,27,ECP,0.013,0.5051,-7862.378,-19342.007,6284.3935,7210.013
80,102,Hg,5.3833,181.9746892,,10.83,,EC+B+,86.2,A,13.8,,,,-10249.6721,-18849.4541,5995.6845,4727.091
80,103,Hg,5.4405,182.9744447,,9.4,,EC+B+,88.3,A,11.7,ECP,0.00026,0.522,-7217.3941,-18548.7604,6038.556,6386.833
80,104,Hg,5.3949,183.9717177,,30.87,,EC+B+,98.89,A,1.11,,,,-9461.4321,-17828.8439,5660.1723,3973.927
80,105,Hg,5.4397,184.9718907,,49.1,,EC+B+,94,A,6,,,0.505,-6425.9062,-17371.6139,5772.9305,5674.499
80,106,Hg,5.4017,185.9693621,,82.8,,EC+B+,99.984,A,0.016,,,,-8656.119,-16852.6323,5204.4457,3175.797
80,107,Hg,5.4046,186.9698135,,114,,EC+B+,100,A,0.00037,,,-0.591,-5673.917,-16306.8872,5229.7718,4910.271
80,108,Hg,5.4085,187.9675807,,195,,EC+B+,99.999963,A,0.000037,,,,-7861.9485,-15825.0772,4709.2193,2172.964
80,109,Hg,5.41,188.9681948,,456,,EC+B+,100,A,0.00003,,,-0.6062,-5010.2727,-15361.2934,4636.8499,3955.58
80,110,Hg,5.4158,189.9663223,,1200,,EC+B+,100,A,0.00000034,,,,-7004.3892,-14825.8376,4068.9065,1462.915
80,111,Hg,5.4171,190.9671583,,2940,,EC+B+,100,,,,,-0.616,-4308.8981,-14296.9312,3668.5968,3206.061
80,112,Hg,5.4232,191.9656343,,17460,,EC,100,,,,,,-6139.2324,-13799.8484,3384.5726,760.703
80,113,Hg,5.4238,192.9666534,,13680,,EC+B+,100,,,,,-0.6251,-3584.9466,-13261.2345,2982.3243,2342.664
80,114,Hg,5.4309,193.9654491,,14105945911,,EC,100,,,,,,-5246.4542,-12778.0514,2697.6359,27.998
80,115,Hg,5.4345,194.9667058,,37908,,EC+B+,100,,,,,0.5393,-2858.0499,-12147.1623,2260.0784,1553.719
80,116,Hg,5.4385,195.9658334,0.0015,stable,,,,,,,,,-4329.3455,-11741.97,2037.6656,-687.226
80,117,Hg,5.4412,196.9672137,,230904,,EC,100,,,,,0.5253,-2186.0092,-11114.9505,1514.5303,599.52
80,118,Hg,5.4463,197.9667692,0.1004,stable,,,,,,,,1.6,-3425.5625,-10671.4118,1380.8702,-1373.522
80,119,Hg,5.4474,198.968281,0.1694,stable,,,,,,,,0.5039,-1486.6695,-10088.6316,822.8961,-452.314
80,120,Hg,5.4551,199.9683269,0.2314,stable,,,,,,,,1.02,-2456.0403,-9515.1886,716.3547,-2263.173
80,121,Hg,5.4581,200.9703031,0.1317,stable,,,,,,,,-0.558,-481.7508,-8686.6202,332.3295,-1261.824
80,122,Hg,5.4648,201.9706436,0.2974,stable,,,,,,,,1.4,-1364.8906,-8235.8492,133.7923,-2992.328
80,123,Hg,5.4679,202.9728724,,4027104,,B-,100,,,,,0.8456,492.1062,-7360.1019,-305.4191,-2125.759
80,124,Hg,5.4744,203.973494,0.0682,stable,,,,,,,,0.64,-344.0781,-7000.1567,-515.8858,-4300.148
80,125,Hg,5.4776,204.9760732,,308.4,,B-,100,,,,,0.5985,1533.0836,-6012.9668,-971.9289,-3717.719
80,126,Hg,5.4837,205.9775138,,499.2,,B-,100,,,,,5.45,1307.5659,-5196.2435,-678.5156,-6755.728
80,127,Hg,null,206.9823,,174,,B-,100,,,,,,4546.9906,-2305.4702,598,-5847.446
80,128,Hg,null,207.985759,,2460,,B-,100,,,,,,3484.7131,-302.2894,1930,-7355.408
80,129,Hg,null,208.990757,,36,,B-,100,,,,,,5035,69,1785,-6380
80,130,Hg,null,209.99431,,null,,,,,,,,,3947,273,1515,-7980
80,131,Hg,null,210.999581,,0.0000003,>,B-,,B-N,,,,,5688,785,1324,
80,132,Hg,null,212.003242,,null,,B-,100,B-N,,,,,4571,1027,1095,
80,133,Hg,null,213.008803,,null,,B-,100,B-N,,,,,6416,1680,,
80,134,Hg,null,214.012636,,null,,B-,100,B-N,,,,,5306,1915,,
80,135,Hg,null,215.018368,,null,,B-,100,B-N,,,,,7079,2574,,
80,136,Hg,null,216.022459,,0.0000003,>,B-,,B-N,,,,,6050,2819,,
81,95,Tl,null,176.0006277,,0.0052,,P,100,,,,,,,,7477.8231,12369.367
81,96,Tl,null,176.9964143,,0.018,,A,73,P,27,,,,,,7066.9981,9435.72
81,97,Tl,null,177.995047,,0.254,,A,53,EC+B+,47,,,,-8187,,7020.0433,11702.346
81,98,Tl,null,178.9911222,,0.23,,A,100,EC+B+,,P,,1.631,-10321.2401,-19914.321,6709.1387,8663.292
81,99,Tl,null,179.989919,,1.09,,EC+B+,94,A,6,ECSF,0.0032,-0.56,-7449.3696,-19513.3646,6705.6128,10860.075
81,100,Tl,null,180.98626,,3.2,,A,10,,,,,1.632,-9688.1182,-18928.9986,6322.0712,7862.378
81,101,Tl,null,181.9856926,,3.1,,EC+B+,97.5,A,5,,,0.54,-6502.6567,-18287.9002,6550.8999,10249.672
81,102,Tl,null,182.9821928,,6.9,,EC+B+,0,A,,,,3.61,-9007.2534,-17834.0229,5976.3946,7217.394
81,103,Tl,null,183.981875,,10.1,,EC+B+,97.9,A,2.1,,,0.43,-5831.7688,-17374.6652,6317.3754,9461.432
81,104,Tl,null,184.9787892,,19.5,,EC+B+,,,,,,1.6,-8216.5333,-16777.4765,5688.4793,6425.906
81,105,Tl,null,185.9786548,,3.4,,A,,,,,,,-5202.0427,-16413.0466,5996.1199,8656.119
81,106,Tl,null,186.9759047,,51,~,EC+B+,100,A,0.03,,,1.54,-7457.637,-15835.0129,5321.9796,5673.917
81,107,Tl,5.4017,187.9760209,,71,,EC+B+,100,,,,,0.481,-4525.3784,-15420.7657,5557.3954,7861.948
81,108,Tl,null,188.9735735,,138,,EC+B+,100,,,,,,-6772.0862,-14876.3991,4817.1285,5010.273
81,109,Tl,5.4121,189.9738418,,156,,EC+B+,100,,,,,0.253,-3949.6288,-14593.5346,4923.7044,7004.389
81,110,Tl,5.4169,190.9717841,,null,,,,,,,,1.582,-5991.7073,-13937.6619,4320.9137,4308.898
81,111,Tl,5.4191,191.972225,,576,,EC+B+,100,,,,,0.199,-3320.4029,-13652.3233,4074.1501,6139.232
81,112,Tl,5.4243,192.970502,,1296,,EC+B+,100,,,,,1.585,-5247.9637,-12996.6907,3679.8238,3584.947
81,113,Tl,5.4259,193.9710814,,1980,,EC+B+,100,A,0.0000001,,,0.139,-2729.6315,-12779.561,3471.1265,5246.454
81,114,Tl,5.4325,194.9697741,,4176,,EC+B+,100,,,,,1.57,-4417.2524,-12018.7439,3217.7026,2858.05
81,115,Tl,5.4327,195.9704812,,6624,,EC+B+,100,,,,,0.072,-2148.3639,-11829.8769,2850.6697,4329.346
81,116,Tl,5.4388,196.9695605,,10224,,EC+B+,100,,,,,1.57,-3608.8367,-11077.3052,2625.6917,2186.009
81,117,Tl,5.4396,197.9704467,,19080,,EC+B+,100,,,,,0,-1461.3103,-10854.6859,2258.2809,3425.562
81,118,Tl,5.4479,198.969877,,26712,,EC+B+,100,,,,,1.59,-2827.6624,-10063.2724,2082.7481,1486.669
81,119,Tl,5.4491,199.9709636,,93960,,EC+B+,100,,,,,0.04,-796.3695,-9886.8107,1666.5746,2456.04
81,120,Tl,5.4573,200.9708202,,262828.8,,EC,100,,,,,1.599,-1909.7458,-9001.2389,1534.0571,481.751
81,121,Tl,5.4595,201.9721089,,1063584,,EC+B+,100,,,,,0.06,-39.811,-8780.7044,1175.4578,1364.891
81,122,Tl,5.4666,202.9723441,0.29515,stable,,,,,,,,1.616,-974.8265,-7892.0191,907.5272,-492.106
81,123,Tl,5.4704,203.9738634,,119379851,,B-,97.08,EC+B+,2.92,,,0.09,763.7453,-7630.9052,469.1081,344.078
81,124,Tl,5.4759,204.9744273,0.70485,stable,,,,,,,,1.632,-50.6402,-6782.3052,154.9875,-1533.083
81,125,Tl,null,205.9761101,,252.12,,B-,100,,,,,4.27,1532.2128,-6554.4495,-325.2275,-1307.565
81,126,Tl,5.4853,206.9774186,,286.2,,B-,100,,,,,1.869,1417.5323,-5320.248,-315.9084,-4546.99
81,127,Tl,5.4946,207.982018,,183.18,,B-,100,,,,,0.291,4998.3984,-2369.4702,1215,-3484.713
81,128,Tl,null,208.9853517,,129.72,,B-,100,,,,,,3969.7809,32.4083,2501,-5034.793
81,129,Tl,null,209.9900729,,78,,B-,100,B-N,0.007,,,,5481.4334,296.2599,2518,-3946.996
81,130,Tl,null,210.993475,,88,,B-,100,B-N,,,,,4415.0129,579.1119,2138,-5687.999
81,131,Tl,null,211.998335,,30.9,,B-,100,B-N,1.8,,,,5998,871,1934,-4571
81,132,Tl,null,213.001915,,23.8,,B-,100,B-N,7.6,,,,4987.4088,1261.4226,1589,-6416.189
81,133,Tl,null,214.00694,,11,,B-,100,B-N,34,,,,6648,1597,1360,-5305
81,134,Tl,null,215.010768,,9.7,,B-,100,B-N,4.6,,,,5688,2142,,-7080
81,135,Tl,null,216.015964,,0.0000003,>,B-,,B-N,,,,,7361,2457,,-6050
81,136,Tl,null,217.020032,,null,,B-,100,B-N,,,,,6399,3079,,
82,96,Pb,null,178.0038362,,0.00012,,A,100,,,,,,,,7789.4724,8186.371
82,97,Pb,null,179.0022025,,0.0035,,A,100,,,,,,,,7596.1352,10321.24
82,98,Pb,null,179.9979162,,0.0041,,A,100,,,,,,,,7418.6542,7449.369
82,99,Pb,null,180.9966606,,0.045,,A,100,,,,,,,,7240.276,9688.118
82,100,Pb,5.3788,181.9926735,,0.055,,A,98,EC+B+,2,,,,,,7065.8734,6502.657
82,101,Pb,5.3869,182.9918625,,0.535,,A,90,,,,,-1.154,,,6927.9999,9007.253
82,102,Pb,5.393,183.9881356,,0.49,,A,80,EC+B+,20,,,,-12306,,6774.0111,5831.769
82,103,Pb,5.3984,184.98761,,6.3,,A,34,EC+B+,,,,-1.137,-9305,-20867,6694.9999,8216.534
82,104,Pb,5.4027,185.9842394,,4.81,,EC+B+,60,A,40,,,,-11535.3999,-20516,6471.0721,5202.043
82,105,Pb,5.4079,186.9839108,,15.2,,EC+B+,90.5,A,9.5,,,-1.122,-8603.6798,-19912.7759,6392.7844,7457.637
82,106,Pb,5.4139,187.9808791,,25.5,,EC+B+,91.5,A,8.5,,,-0.3,-10616.2241,-19499.0671,6108.8469,4525.379
82,107,Pb,5.4177,188.9808437,,39,,EC+B+,100,A,0.4,,,-1.077,-7779.3555,-18720.537,5914.7158,6772.086
82,108,Pb,5.4222,189.9780819,,71,,EC+B+,99.6,A,0.4,,,,-9820.7014,-18423.2612,5697.5361,3949.629
82,109,Pb,5.4229,190.9782165,,79.8,,EC+B+,99.987,A,0.013,,,-1.167,-7051.8922,-17766.656,5402.3497,5991.708
82,110,Pb,5.43,191.9757896,,210,,EC+B+,99.9941,A,0.0059,,,,-9017.3089,-17383.8127,5221.5895,3320.403
82,111,Pb,5.431,192.9761359,,null,,EC+B+,,,,,,-1.146,-6344.6913,-16766.0359,4972.2075,5247.963
82,112,Pb,5.4372,193.9740118,,642,,EC+B+,100,A,0.0000073,,,-0.38,-8184.8462,-16394.6207,4737.843,2729.632
82,113,Pb,5.4389,194.9745162,,900,~,EC+B+,100,,,,,-1.124,-5712.4729,-15786.3376,4428.8935,4417.253
82,114,Pb,5.4444,195.9727876,,2220,,EC+B+,100,A,0.00003,,,-1.92,-7339.202,-15393.9859,4238.3307,2148.364
82,115,Pb,5.4446,196.9734347,,486,,EC+B+,100,,,,,-1.0718,-5058.1894,-14807.6706,3891.8643,3608.837
82,116,Pb,5.4524,197.9720155,,8640,,EC+B+,100,,,,,,-6693.5916,-14451.5651,3691.5934,1461.31
82,117,Pb,5.4529,198.9729126,,5400,,EC+B+,100,,,,,-1.0707,-4434.1181,-13929.2016,3356.6915,2827.663
82,118,Pb,5.4611,199.9718185,,77400,,EC,100,,,,,,-5880.2841,-13524.5593,3150.1704,796.369
82,119,Pb,5.4629,200.9728704,,33588,,EC+B+,100,,,,,0.6731,-3842.0269,-12971.7772,2844.2822,1909.745
82,120,Pb,5.4705,201.9721516,,1656738613666,,EC,100,A,1,,,,-5189.7539,-12582.9203,2588.7914,39.811
82,121,Pb,5.4727,202.9733906,,186912,,EC,100,,,,,0.6841,-3261.5896,-12106.9466,2334.6679,974.826
82,122,Pb,5.4803,203.9730435,0.014,4.42E+24,>=,A,,,,,,0.02,-4463.8883,-11656.24,1968.5365,-763.745
82,123,Pb,5.4828,204.9744817,,536467741568064,,EC,100,,,,,0.7094,-2704.5927,-11195.5533,1467.4514,50.64
82,124,Pb,5.4902,205.9744652,0.241,stable,,,,,,,,-0.152,-3757.3057,-10791.255,1134.8875,-1532.213
82,125,Pb,5.4943,206.9758968,0.221,stable,,,,,,,,0.5906,-2397.414,-10495.0859,392.3186,-1417.532
82,126,Pb,5.5012,207.976652,0.524,stable,,,,,,,,,-2878.368,-9765.2826,516.7129,-4998.398
82,127,Pb,5.51,208.98109,,11642.4,,B-,100,,,,,-1.4686,644.0152,-6815.7406,2248.2291,-3969.781
82,128,Pb,5.5208,209.9841884,,700563756.6,,B-,100,A,0.0000019,,,,63.4758,-4541.1583,3792.3827,-5481.433
82,129,Pb,5.529,210.9887353,,2166,,B-,100,,,,,-1.3991,1366.1041,-3772.4252,3569.5178,-4415.013
82,130,Pb,5.5396,211.9918959,,38239.2,,B-,100,,,,,,569.0133,-3761.1315,3291.5622,-5997.929
82,131,Pb,null,212.9965608,,612,,B-,100,,,,,,2028.073,-3156.9729,2981,-4987.409
82,132,Pb,5.5577,213.9998035,,1623.6,,B-,100,,,,,,1017.7611,-3022.6661,2692,-6648.019
82,133,Pb,null,215.0046616,,147,,B-,100,,,,,,2712.9729,-2528.2934,2308,-5687.755
82,134,Pb,null,216.008062,,0.0000003,>,B-,,,,,,,1636,-2191,2065,-7360
82,135,Pb,null,217.013162,,19.9,,B-,100,,,,,,3530,-1685,1635,-6400
82,136,Pb,null,218.016779,,15,,B-,100,,,,,,2414,-1172,1434,
82,137,Pb,null,219.022136,,null,,B-,100,,,,,,4300,-668,1085,
82,138,Pb,null,220.025905,,0.0000003,>,B-,,,,,,,3171,-261,785,
83,101,Bi,null,184.001347,,0.013,,A,100,,,,,,,,8220,12305.586
83,102,Bi,null,184.9976,,0.000058,,P,90,A,10,,,,,,8138,9305.211
83,103,Bi,null,185.9966232,,0.0148,,A,95.5,EC+B+,4.5,SF+EC+B+,0.02,,-7247.0279,,7756.7999,11535.4
83,104,Bi,null,186.9931473,,0.037,,A,100,,,,,,-9207.0832,-18556.124,7779.0701,8603.68
83,105,Bi,null,187.9922761,,0.06,,A,100,,,,,,-6650.4226,-18089.9263,7263.6388,10616.224
83,106,Bi,null,188.9891951,,0.688,,A,100,,,,,3.7,-8642.6682,-17591.6042,7268.165,7779.355
83,107,Bi,null,189.9886248,,6.3,,A,90,EC+B+,10,SF+EC+B+,0.000023,3.85,-6033.1975,-17245.228,6862.1185,9820.701
83,108,Bi,null,190.985787,,12.4,,A,51,EC+B+,49,,,3.66,-8170.6205,-16747.9612,6780.325,7051.892
83,109,Bi,null,191.9854701,,34.6,,EC+B+,88,A,12,,,4.16,-5468.0534,-16537.1242,6376.9499,9017.309
83,110,Bi,null,192.9829472,,63.6,,EC+B+,96.5,A,3.5,,,3.72,-7559.2614,-15889.398,6306.6261,6344.692
83,111,Bi,null,193.9827986,,95,,EC+B+,99.54,A,0.46,,,4.17,-5018.4029,-15769.0359,5918.2999,8184.846
83,112,Bi,null,194.9806488,,183,,EC+B+,99.97,A,0.03,,,3.85,-6908.9121,-15092.2677,5832.4683,5712.472
83,113,Bi,null,195.9806665,,308,,EC+B+,100,A,0.00115,,,,-4540.3012,-14963.696,5438.3004,7339.202
83,114,Bi,null,196.9788649,,559.8,,EC+B+,100,A,0.0001,,,3.9,-6294.1172,-14289.7823,5365.1071,5058.189
83,115,Bi,null,197.9792013,,618,,EC+B+,100,,,,,2.45,-3900.5727,-14052.0906,5138.7308,6693.592
83,116,Bi,null,198.9776728,,1620,,EC+B+,100,,,,,4.6,-5558.7875,-13395.6562,4932.7597,4434.118
83,117,Bi,null,199.9781313,,2184,,EC+B+,100,,,,,,-3428.8901,-13203.0628,4701.1089,5880.284
83,118,Bi,null,200.976995,,6180,,EC+B+,100,,,,,4.8,-4907.8397,-12558.6405,4500.2999,3842.027
83,119,Bi,5.484,201.977723,,6156,,EC+B+,100,,,,,4.24,-2809.285,-12301.0061,4352.9828,5189.754
83,120,Bi,5.4911,202.9768921,,42336,,EC+B+,100,,,,,3.999,-4214.0744,-11654.642,4109.5879,3261.59
83,121,Bi,5.4934,203.9778357,,40392,,EC+B+,100,,,,,4.302,-2304.8814,-11406.4261,3976.3845,4463.888
83,122,Bi,5.5008,204.9773852,,1288224,,EC+B+,100,,,,,4.047,-3544.171,-10795.8419,3690.2933,2704.593
83,123,Bi,5.5034,205.9784988,,539395.2,,EC+B+,100,,,,,4.341,-1839.5323,-10578.1203,3527.3026,3757.305
83,124,Bi,5.5103,206.9784706,,995621014.5,,EC+B+,100,,,,,4.0729,-2908.8541,-9937.2043,3281.8388,2397.414
83,125,Bi,5.5147,207.9797421,,11612948758650,,EC+B+,100,,,,,4.572,-1400.9438,-9795.7687,3051.0029,2878.368
83,126,Bi,5.5211,208.9803986,1,6.34E+26,,A,100,,,,,4.092,-1892.5741,-8860.6997,3137.2975,-644.015
83,127,Bi,5.53,209.9841202,,433036.8,,B-,100,A,0.000132,,,-0.0443,1161.1549,-6497.2081,5036.4728,-63.476
83,128,Bi,null,210.9872687,,128.4,,A,99.724,B-,0.276,,,3.85,573.3763,-3977.3744,6750.4042,-1366.104
83,129,Bi,5.5489,211.991285,,3633,,B-,64.06,A,35.94,,,0.32,2251.4656,-3756.7685,6207.2619,-569.014
83,130,Bi,5.5586,212.9943836,,2735.4,,B-,97.86,A,2.14,,,3.699,1421.8481,-2933.5803,5988.2062,-2028.073
83,131,Bi,null,213.9987109,,1182.6,,B-,99.979,A,0.021,B-A,0.003,,3269.1925,-2618.5791,5621.2999,-1017.761
83,132,Bi,null,215.0017491,,456,,B-,100,,,,,,2171.0426,-1972.0738,5282.3552,-2712.973
83,133,Bi,null,216.006306,,135,,B-,100,,,,,,4091.652,-1655.5596,5000,-1636.012
83,134,Bi,null,217.009372,,98.5,,B-,100,,,,,,2846.5103,-1123.6912,4521.2357,-3530.037
83,135,Bi,null,218.014188,,33,,B-,100,,,,,,4859.3866,-738.7322,4327,-2413.962
83,136,Bi,null,219.01752,,22,,B-,100,,,,,,3638,-108,3865,-4300
83,137,Bi,null,220.022501,,0.0000003,>,B-,,,,,,,5696,207,3664,-3170
83,138,Bi,null,221.02598,,0.0000003,>,B-N,,B-,,,,,4426,865,3116,
83,139,Bi,null,222.031079,,0.0000003,>,B-N,,B-,,,,,6464,1105,2815,
83,140,Bi,null,223.034611,,0.0000003,>,B-N,,B-,,,,,5161,1682,,
83,141,Bi,null,224.039796,,null,,B-,100,B-N,,,,,7159,1920,,
84,102,Po,null,186.0044032,,0.000028,,A,100,,,,,,,,8501.1712,7247.028
84,103,Po,null,187.0030315,,0.0014,,A,100,,,,,,,,7978.8999,9207.083
84,104,Po,null,187.9994156,,0.00027,,A,100,,,,,,,,8082.2927,6650.422
84,105,Po,null,188.9984734,,0.0035,,A,100,,,,,,,,7694.2999,8642.668
84,106,Po,null,189.9951017,,0.00245,,A,100,,,,,,,,7693.2733,6033.198
