# Original data is from the International Atomic Energy Agency (IAEA) Nuclear Data Services (https://www-nds.iaea.org). The data was processed by speedydelete.
z,n,symbol,radius,mass,abundance,halfLife,halfLifeOperator,decay1,decay1Prob,decay2,decay2Prob,decay3,decay3Prob,magneticDipoleMoment,betaMinusEnergy,neutronEnergy,alphaEnergy,electronCaptureEnergy
13,14,Al,3.061,26.98153841,1,stable,,,,,,,,3.6407,-4812.3583,-18127.1784,-10091.9259,-2610.27
13,15,Al,null,27.98191001,,134.7,,B-,100,,,,,3.241,4642.0776,-12537.5323,-10857.7346,-1830.773
13,16,Al,null,28.98045316,,393.6,,B-,100,,,,,,3687.3192,-4786.2833,-11274.8645,-7595.402
13,17,Al,null,29.98296917,,3.62,,B-,100,,,,,3.012,8568.8459,-2040.353,-11428.2519,-6982.743
13,18,Al,null,30.98394975,,0.644,,B-,100,B-N,1.6,,,3.832,7998.3286,1410.9356,-11857.8341,-11828.557
13,19,Al,null,31.98808434,,0.033,,B-,100,B-N,0.7,,,1.953,12978.3208,3778.3509,-12535.969,-10270.467
13,20,Al,null,32.99087769,,0.0417,,B-,100,B-N,8.5,,,4.09,12016.946,7508.989,-13602.2918,-13460.255
13,21,Al,null,33.99678192,,0.0563,,B-,100,B-N,26,,,2.157,16994.0653,9445.3913,-13897.2044,-11320.943
13,22,Al,null,34.99975982,,0.0383,,B-,100,B-N,38,B-2N,0,,14167.7504,11696.6363,-14894.677,-15863.516
13,23,Al,null,36.006388,,0.09,,B-,100,B-N,31,,,,18386.5096,12270.5464,-15114.6831,-14429.775
13,24,Al,null,37.010531,,0.0107,,B-,100,B-N,,,,,16381.0765,14174.3716,-16395.4644,-18401.914
13,25,Al,null,38.017681,,0.009,,B-N,,B-2N,,B-,,,20640,14970,-17635,-17604
13,26,Al,null,39.02307,,0.0076,,B-,100,B-2N,,B-N,,,19169,17589,-18767,-21285
13,27,Al,null,40.03094,,0.00000026,>,B-,100,B-2N,,B-N,,,23154,18429,-19507,-20730
13,28,Al,null,41.037134,,null,,B-,100,B-N,,,,,21390,20852,-20969,
13,29,Al,null,42.045078,,0.00000017,>,B-,,B-N,,B-2N,,,25150,20718,-22340,
13,30,Al,null,43.05182,,0.00000017,>,B-,,B-N,,B-2N,,,23940,23359,-24132,
14,8,Si,null,22.036114,,0.029,,EC+B+,100,B+P,32,,,,,,,15439
14,9,Si,null,23.025711,,0.0423,,EC+B+,100,ECP,88,EC2P,3.6,,,,-10314,17201.929
14,10,Si,null,24.01153543,,0.1413,,EC+B+,100,ECP,32.4,,,,-23275,,-9157.4242,10793.998
14,11,Si,null,25.0041088,,0.22,,EC+B+,100,B+P,35,,,,-16363,-38264,-9501.4448,12743.296
14,12,Si,null,25.99233382,,2.2453,,EC+B+,100,,,,,,-18114,-35402,-9165.9328,5069.136
14,13,Si,null,26.98670469,,4.15,,EC+B+,100,,,,,-0.8652,-11725.473,-31429,-9335.7466,4812.359
14,14,Si,3.1224,27.97692653,0.922545,stable,,,,,,,,,-14344.9407,-28905.0829,-9984.1348,-4642.078
14,15,Si,3.1176,28.97649466,0.04672,stable,,,,,,,,-0.555052,-4942.2325,-22818.5432,-11127.2154,-3687.32
14,16,Si,3.1336,29.97377014,0.030735,stable,,,,,,,,0.9,-4232.1065,-15551.4314,-10643.3347,-8568.846
14,17,Si,null,30.9753632,,9434.4,,B-,100,,,,,,1491.5071,-10819.4995,-10787.359,-7998.328
14,18,Si,null,31.97415154,,4954437378,,B-,100,,,,,,227.1872,-7708.4628,-11482.6595,-12978.321
14,19,Si,null,32.97797696,,6.11,,B-,100,,,,,1.21,5823.0223,-4280.7698,-12326.8839,-12016.946
14,20,Si,null,33.97853805,,2.77,,B-,100,,,,,,4557.0175,-1725.6517,-13535.2274,-16994.065
14,21,Si,null,34.98455011,,0.78,,B-,100,B-N,5,,,-1.639,10466.3291,2085.9034,-13694.2441,-14167.75
14,22,Si,null,35.98664927,,0.45,,B-,100,B-N,10,,,,7814.9194,4350.3658,-14032.1404,-18386.509
14,23,Si,null,36.99294519,,0.09,,B-,100,B-N,17,B-2N,,,12424.5003,5608.2145,-13959.3009,-16381.076
14,24,Si,null,37.995523,,0.063,,B-,100,B-N,25,,,,10451.2656,6754.3952,-14918.5391,-20640.299
14,25,Si,null,39.002491,,0.0475,,B-,100,B-2N,,B-N,,,15094.9874,8870.5985,-15744.35,-19169.648
14,26,Si,null,40.00608364,,0.033,,B-,100,B-2N,,B-N,,,13806.0653,10370.1935,-17138.1994,-23153.124
14,27,Si,null,41.014171,,0.02,,B-,100,B-N,0,,,,18180,13268,-17436,-21390
14,28,Si,null,42.018078,,0.0125,,B-,100,B-N,,B-2N,,,15748,13748,-19659,-25150
14,29,Si,null,43.026119,,0.00000006,>,B-,,B-N,,B-2N,,,19289,15167,-20871,-23940
14,30,Si,null,44.031466,,0.00000036,>,B-,100,B-N,,,,,18200,16199,-22664,
15,10,P,null,25.021675,,0.00000003,<,P,100,,,,,,,,-9324,16362.678
15,11,P,null,26.01178,,0.0437,,EC+B+,100,ECP,36.8,EC2P,2.16,,-16707,,-9653,18114.003
15,12,P,null,26.9992925,,0.26,,EC+B+,100,B+P,0.07,,,,-18150,-36411,-9832.0193,11725.473
15,13,P,null,27.99232646,,0.2703,,EC+B+,100,ECP,0.0013,ECA,0.00086,0.312,-11221.0593,-32710,-9523.9602,14344.941
15,14,P,null,28.98180037,,4.142,,EC+B+,100,,,,,1.2344,-13858.4257,-29097.37,-10461.791,4942.233
15,15,P,null,29.97831349,,149.88,,EC+B+,100,,,,,,-6141.6014,-25177.7505,-10415.6324,4232.106
